Symbol, Company Name
MMM, 3M Company
ATI, Allegheny Technologies Incorporated
ADSK, Autodesk Inc.
ADP, Automatic Data Processing Inc.
AMAT, Applied Materials Inc.
ANSS, ANSYS Inc.
AAPL, Apple Inc.
ADI, Analog Devices Inc.
AVY, Avery Dennison Corporation
BAX, Baxter International Inc.
BDX, Becton and Dickinson and Company
BRKR, Bruker Corporation
CNC, Centene Corporation
CARR, Carrier Global Corporation
CAT, Caterpillar Inc.
COF, Capital One Financial Corporation
CNP, CenterPoint Energy Inc.
CSX, CSX Corporation
CMI, Cummins Inc.
DHR, Danaher Corporation
DOW, Dow Inc.
DE, Deere & Company
DD, DuPont de Nemours Inc.
DXCM, DexCom Inc.
ETN, Eaton Corporation plc
EMR, Emerson Electric Company
ECL, Ecolab Inc.
EXPD, Expeditors International of Washington Inc.
FIS, Fidelity National Information Services Inc.
FMC, FMC Corporation
F, Ford Motor Company
GD, General Dynamics Corporation
GE, General Electric Company
GWW, W.W. Grainger Inc.
HON, Honeywell International Inc.
HPQ, HP Inc.
HWM, Howmet Aerospace Inc.
ITW, Illinois Tool Works Inc.
IDXX, IDEXX Laboratories Inc.
INTC, Intel Corporation
IP, International Paper Company
IR, Ingersoll-Rand plc
JNJ, Johnson & Johnson
JCI, Johnson Controls International plc
KLAC, KLA Corporation
LMT, Lockheed Martin Corporation
LIN, Linde plc
LRCX, Lam Research Corporation
LDOS, Leidos Holdings Inc.
LHX, L3Harris Technologies Inc.
MRO, Marathon Oil Corporation
MCHP, Microchip Technology Incorporated
MSI, Motorola Solutions Inc.
MSFT, Microsoft Corporation
NSC, Norfolk Southern Corporation
NOC, Northrop Grumman Corporation
NVDA, NVIDIA Corporation
NUE, Nucor Corporation
OMC, Omnicom Group Inc.
OXY, Occidental Petroleum Corporation
PAYX, Paychex Inc.
PFE, Pfizer Inc.
PPG, PPG Industries Inc.
PCAR, PACCAR Inc.
PNR, Pentair plc
PTC, PTC Inc.
RTX, Raytheon Technologies Corporation
ROK, Rockwell Automation Inc.
SPGI, S&P Global Inc.
SLB, Schlumberger N.V.
SHW, Sherwin-Williams Company
SNA, Snap-on Incorporated
STX, Seagate Technology PLC
SYF, Synchrony Financial
TEL, TE Connectivity Ltd.
TER, Teradyne Inc.
TXN, Texas Instruments Incorporated
TXT, Textron Inc.
TMO, Thermo Fisher Scientific Inc.
TJX, TJX Companies Inc.
TSCO, Tractor Supply Company
UNP, Union Pacific Corporation
UHS, Universal Health Services Inc.
UNH, UnitedHealth Group Incorporated
UPS, United Parcel Service Inc.
URI, United Rentals Inc.
VLO, Valero Energy Corporation
VRSK, Verisk Analytics Inc.
WAB, Wabtec Corporation
WEC, WEC Energy Group Inc.
WMT, Wal-Mart Stores Inc.
WBA, Walgreens Boots Alliance Inc.
WFC, Wells Fargo & Company
WY, Weyerhaeuser Company
XYL, Xylem Inc.